causeCode,numRunups,tsIntensity,oceanicTsunami,eqMagnitude,warningStatusId,
1,2,3,TRUE,6.8,,
1,1,,TRUE,,,
3,1,1.5,TRUE,7,,
1,1,2,TRUE,8.5,,
6,1,1,TRUE,,,
1,9,2,TRUE,8.5,,
1,1,,TRUE,7.7,,
1,1,,TRUE,5.8,,
6,1,0.5,TRUE,,,
1,1,1.5,TRUE,7.6,,
1,7,3.5,TRUE,7.5,,
0,0,,TRUE,,,
1,1,,TRUE,6.5,,
1,3,,TRUE,7.6,,
1,6,2,TRUE,8.5,,
1,2,4,TRUE,,,
1,1,-1.5,TRUE,6.8,,
1,1,2,TRUE,,,
9,1,,TRUE,,,
1,1,1,TRUE,,,
1,1,,TRUE,,,
1,1,,TRUE,6.3,,
0,0,,TRUE,,,
1,1,3,TRUE,6.5,,
6,1,0.5,TRUE,,,
1,1,,TRUE,,,
6,1,,TRUE,,,
4,1,,TRUE,,,
6,0,,TRUE,,,
9,1,,TRUE,,,
4,2,1.5,TRUE,,,
1,2,,TRUE,7,,
1,0,,TRUE,8.3,,
1,2,,TRUE,6.4,,
1,1,0.5,TRUE,7.5,,
1,0,,TRUE,6.9,,
1,0,,TRUE,,,
1,1,2,TRUE,7.3,,
1,0,,TRUE,,,
0,0,,TRUE,,,
1,1,,FALSE,,,
1,1,1,FALSE,,,
1,2,,TRUE,,,
1,2,4,TRUE,6.4,,
1,1,0.5,TRUE,,,
1,6,2.5,TRUE,8.3,,
1,27,2.5,TRUE,7.4,,
1,1,1,TRUE,6.4,,
1,1,0,TRUE,7,,
1,22,3,TRUE,8.2,,
0,1,2,TRUE,,,
1,4,2,TRUE,7.6,,
1,2,2,TRUE,,,
1,1,0.5,TRUE,,,
1,2,1,TRUE,7.5,,
1,1,1,TRUE,5.9,,
1,1,0.5,TRUE,7.5,,
1,0,4,TRUE,6.4,,
9,1,,TRUE,,,
1,3,0.5,TRUE,7.3,,
0,3,,TRUE,,,
1,19,3,TRUE,8.5,,
1,1,,TRUE,,,
4,0,,TRUE,,,
1,1,1,TRUE,7.3,,
1,1,,TRUE,,,
1,1,0,TRUE,7,,
9,1,,TRUE,,,
1,1,0.5,TRUE,,,
1,1,1,TRUE,6.5,,
0,1,,TRUE,,,
1,1,0,TRUE,,,
1,7,3,TRUE,8.4,,
1,1,1.5,TRUE,,,
1,4,1.5,TRUE,6,,
1,6,,TRUE,8.1,,
1,3,,TRUE,6,,
1,3,2,TRUE,7.3,,
1,1,0,TRUE,6,,
1,1,,TRUE,8.3,,
6,1,,TRUE,,,
1,8,2.5,TRUE,8.4,,
3,1,,TRUE,7.5,,
1,1,4,TRUE,5.9,,
1,2,4,TRUE,6.5,,
0,1,3,TRUE,,,
0,0,1,TRUE,,,
0,1,2,TRUE,,,
8,1,3,TRUE,,,
1,1,0,TRUE,7,,
1,2,1.5,TRUE,8.3,,
1,3,,TRUE,6.3,,
1,1,0.5,TRUE,,,
1,1,3,TRUE,,,
1,1,0,TRUE,,,
1,0,3,TRUE,,,
1,2,0.5,TRUE,7.3,,
1,2,1,TRUE,6.9,,
1,1,1.5,TRUE,,,
9,4,1.5,TRUE,,,
1,1,,TRUE,,,
1,1,,TRUE,,,
0,0,,TRUE,,,
1,2,0.5,TRUE,,,
3,3,0.5,TRUE,7.9,,
1,7,2,TRUE,7.5,,
1,4,,TRUE,,,
1,3,2.5,TRUE,7.5,,
6,0,,TRUE,,,
8,0,0,TRUE,,,
1,1,3,TRUE,7.1,,
1,0,,TRUE,7.1,,
1,2,3,TRUE,,,
0,1,1.5,TRUE,,,
1,2,,TRUE,,,
1,2,2,TRUE,,,
1,2,2,TRUE,7.2,,
1,1,3,TRUE,6.6,,
1,1,,TRUE,,,
0,1,3,TRUE,,,
2,1,,TRUE,,,
1,0,3,TRUE,,,
1,1,1.5,TRUE,7.5,,
1,0,,TRUE,,,
1,3,0,TRUE,6.8,,
1,0,,TRUE,,,
1,1,0,TRUE,,,
1,1,,TRUE,,,
1,22,2.5,TRUE,8.3,,
1,0,,TRUE,,,
1,1,1,TRUE,7,,
1,1,0,TRUE,7,,
1,7,2,TRUE,7,,
8,1,4,TRUE,,,
1,4,,TRUE,6.7,,
1,1,3,TRUE,,,
6,0,,TRUE,,,
1,2,2,TRUE,,,
1,2,,TRUE,,,
1,1,0,TRUE,6,,
6,0,,TRUE,,,
3,2,0.5,TRUE,,,
3,1,0,TRUE,,,
1,0,2,TRUE,7,,
6,0,,TRUE,,,
0,1,-2,TRUE,,,
3,1,1.5,TRUE,7.3,,
3,0,1.5,TRUE,7.2,,
0,1,,TRUE,,,
1,1,0.5,TRUE,,,
0,1,,TRUE,,,
1,1,0,TRUE,,,
0,0,,TRUE,,,
0,0,,TRUE,,,
0,0,,TRUE,,,
1,72,3,TRUE,8.3,,
1,81,2.5,TRUE,8.4,,
1,29,3,TRUE,8,,
1,0,3,TRUE,,,
0,1,,TRUE,,,
1,1,0,TRUE,6,,
0,1,1,TRUE,,,
3,1,0,TRUE,6,,
1,0,0,TRUE,,,
1,1,,TRUE,,,
1,1,0,TRUE,,,
1,6,,TRUE,7,,
1,2,,TRUE,7,,
0,0,,TRUE,,,
3,1,-1,TRUE,5.5,,
0,2,0.5,TRUE,,,
6,2,1,TRUE,,,
1,1,0,TRUE,,,
6,1,,TRUE,,,
1,33,2,TRUE,8,,
1,1,3,TRUE,8.3,,
1,1,3,TRUE,6.6,,
1,1,,TRUE,,,
3,5,1.5,TRUE,8,,
1,4,2,TRUE,7,,
1,1,,TRUE,6.4,,
1,2,1.5,TRUE,,,
1,1,0,TRUE,,,
1,1,1,TRUE,6.5,,
1,1,,TRUE,,,
0,0,0.5,TRUE,,,
1,9,1.5,TRUE,7.3,,
1,4,3,TRUE,7,,
1,1,0,TRUE,,,
1,5,1.5,TRUE,7.3,,
1,1,1.5,TRUE,6.2,,
0,1,0,TRUE,,,
1,2,0.5,TRUE,6.8,,
1,1,2.5,TRUE,7.6,,
1,0,,TRUE,,,
0,1,2,TRUE,,,
1,1,1,TRUE,,,
0,0,,TRUE,,,
1,1,1.5,TRUE,7,,
1,1,0,TRUE,,,
0,1,1,TRUE,,,
3,4,,TRUE,7.5,,
0,1,,TRUE,,,
1,1,0,TRUE,,,
1,1,0,TRUE,,,
1,1,0,TRUE,,,
0,4,1.5,TRUE,,,
1,17,3,TRUE,8.5,,
1,1,,FALSE,,,
0,1,1,TRUE,,,
1,4,2,TRUE,7,,
1,0,,TRUE,,,
1,1,1.5,TRUE,7,,
11,1,,TRUE,,,
0,2,1,TRUE,,,
1,1,0.5,TRUE,6.8,,
1,1,1.5,TRUE,6.5,,
1,4,2,TRUE,7.4,,
3,6,4,TRUE,7.3,,
9,1,1,TRUE,,,
1,0,0.5,TRUE,6,,
0,1,,TRUE,,,
3,1,,TRUE,5.9,,
0,0,,TRUE,,,
1,1,0,TRUE,,,
1,1,1,TRUE,6.5,,
1,1,1,TRUE,7.5,,
1,1,0,TRUE,6.4,,
1,0,,TRUE,,,
1,2,1.5,TRUE,7.8,,
1,1,1.5,TRUE,,,
0,1,0.5,TRUE,,,
1,1,,TRUE,,,
0,1,,TRUE,,,
3,1,0.5,TRUE,6.3,,
0,0,,TRUE,,,
1,1,0,TRUE,6,,
1,4,3,TRUE,8,,
0,1,1,TRUE,,,
1,1,4,TRUE,6.6,,
0,0,3,TRUE,,,
1,0,3,TRUE,6.8,,
4,1,,TRUE,6.1,,
1,0,3,TRUE,6.4,,
1,1,4,TRUE,6.8,,
1,1,3,TRUE,6.3,,
1,2,4,TRUE,6.3,,
1,0,3,TRUE,5.5,,
0,0,-1,TRUE,,,
0,0,-1,TRUE,,,
1,1,,TRUE,,,
6,1,,TRUE,,,
1,0,,TRUE,,,
9,1,,TRUE,,,
0,0,2,TRUE,,,
1,2,,TRUE,7.5,,
0,0,-1,TRUE,,,
1,24,4,TRUE,7.1,,
1,62,,TRUE,7.3,,
1,12,2,TRUE,7,,
1,6,,TRUE,,,
1,28,3.5,TRUE,7.9,,
0,0,,TRUE,,,
0,0,,TRUE,,,
0,0,,TRUE,,,
1,1,2.5,TRUE,,,
1,1,,TRUE,,,
0,1,,TRUE,,,
0,0,,TRUE,,,
1,1,,TRUE,,,
1,3,,TRUE,8.5,,
1,125,3.5,TRUE,8.5,,
0,1,,TRUE,,,
1,1,0.5,TRUE,,,
0,1,,TRUE,,,
1,1,0.5,TRUE,,,
1,1,0.5,TRUE,,,
3,4,0.5,TRUE,6.8,,
1,1,,TRUE,,,
1,1,,TRUE,,,
1,1,,TRUE,,,
1,1,0,TRUE,,,
1,1,1,TRUE,,,
0,1,,TRUE,,,
0,8,3,TRUE,,,
1,1,1.5,TRUE,,,
0,0,-1,TRUE,,,
1,1,0,TRUE,7,,
1,0,,TRUE,6.5,,
1,3,1.5,TRUE,7.5,,
1,1,3,TRUE,6.2,,
1,1,3,TRUE,,,
1,0,3,TRUE,,,
0,0,-1,TRUE,,,
1,1,1,TRUE,,,
0,0,,TRUE,,,
1,1,,TRUE,7,,
6,1,2,TRUE,,,
6,5,3.5,TRUE,,,
1,1,0.5,TRUE,7.5,,
1,2,0.5,TRUE,,,
1,2,1,TRUE,7,,
1,1,0,TRUE,,,
0,0,,TRUE,,,
1,0,,TRUE,,,
1,1,0.5,TRUE,,,
1,0,,TRUE,,,
1,1,0,TRUE,6.5,,
9,1,,TRUE,,,
9,1,,TRUE,,,
1,1,1.5,TRUE,6,,
1,12,1,TRUE,7.4,,
1,1,,TRUE,7.3,,
1,8,0,TRUE,,,
0,0,,TRUE,,,
0,2,0,TRUE,,,
1,2,,TRUE,,,
1,1,2,TRUE,8,,
1,0,,TRUE,,,
1,1,2,TRUE,,,
3,1,,TRUE,6.7,,
1,2,,TRUE,,,
1,0,,TRUE,,,
1,2,,TRUE,7,,
1,1,,TRUE,6.5,,
1,7,2.5,TRUE,8,,
1,1,0.5,TRUE,7,,
1,1,-1,TRUE,6.8,,
4,0,,TRUE,,,
4,2,0.5,TRUE,,,
9,2,2,TRUE,,,
6,1,1,TRUE,,,
1,109,3.5,TRUE,8.3,,
1,3,1,TRUE,,,
1,1,,TRUE,,,
